length_url,length_hostname,nb_dots,nb_hyphens,nb_slash,nb_qm,nb_and,nb_at,nb_eq,ratio_digits_url,ratio_digits_host,nb_subdomains,has_ip,tld_in_subdomain,entropy_hostname,path_len,query_len,label
20,13,1,0,2,0,0,0,0,0.1,0.15384615384615385,0,0,0,3.3927474104487847,0,0,0
22,15,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.6402239289418516,0,0,0
47,16,2,0,5,0,0,0,0,0.0,0.0,1,0,0,3.202819531114783,23,0,1
82,16,2,0,9,0,0,0,0,0.0,0.0,1,0,0,3.577819531114783,59,0,1
18,11,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.59490661824394,0,0,0
58,10,1,0,6,0,0,0,0,0.10344827586206896,0.0,0,0,0,3.121928094887362,41,0,1
28,21,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.748994803525096,0,0,0
18,11,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.459431618637298,0,0,0
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.238901256602631,0,0,0
75,10,2,0,8,0,0,0,0,0.013333333333333334,0.0,1,0,0,2.9219280948873623,58,0,1
156,18,1,0,7,1,1,0,2,0.20512820512820512,0.0,0,0,0,3.503258334775645,75,55,1
58,18,1,0,6,0,0,0,0,0.0,0.0,0,0,0,3.350209029099897,33,0,1
50,17,2,0,4,1,0,0,1,0.0,0.0,1,0,0,3.3371753411230776,21,4,1
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.875,0,0,0
47,25,2,0,3,0,0,0,0,0.1276595744680851,0.0,1,0,0,3.673269689515108,15,0,1
45,18,2,0,5,0,0,0,0,0.0,0.0,1,0,0,3.4613201402110083,20,0,1
222,25,2,0,6,1,2,0,3,0.3063063063063063,0.0,1,0,0,3.783465189601646,32,157,1
24,17,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.8521687236032816,0,0,0
70,22,1,0,6,0,0,0,0,0.0,0.0,0,0,0,3.3685225277282056,41,0,1
18,11,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.2776134368191165,0,0,0
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.202819531114783,0,0,0
32,25,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.7336606896881848,0,0,0
24,17,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.0286393118385755,0,0,0
218,18,2,0,6,1,8,1,3,0.24311926605504589,0.0,1,0,0,3.5724312513221195,38,154,1
15,8,1,0,2,0,0,0,0,0.06666666666666667,0.125,0,0,0,3.0,0,0,0
22,15,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.640223928941851,0,0,0
33,26,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.719294525666979,0,0,0
21,14,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.3787834934861767,0,0,0
24,17,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.734521664779752,0,0,0
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.5465935642949384,0,0,0
60,26,2,1,6,0,0,0,0,0.08333333333333333,0.19230769230769232,1,0,0,3.6864194113487736,27,0,1
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.452819531114783,0,0,0
30,23,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.555533151426996,0,0,0
30,21,2,0,3,0,0,0,0,0.16666666666666666,0.23809523809523808,1,0,0,3.5585186130489053,1,0,1
50,12,1,0,6,0,0,0,0,0.02,0.08333333333333333,0,0,0,3.4182958340544896,31,0,1
74,29,2,0,5,0,0,0,0,0.25675675675675674,0.1724137931034483,1,0,0,4.021268494903765,38,0,1
56,21,2,0,6,0,0,0,0,0.017857142857142856,0.0,1,0,0,3.5585186130489057,28,0,1
47,25,2,0,3,0,0,0,0,0.06382978723404255,0.12,1,0,0,3.753269689515107,15,0,1
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.085055102756477,0,0,0
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.25,0,0,0
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.180832987205441,0,0,0
25,18,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.392147223664534,0,0,0
50,8,1,0,6,0,0,0,0,0.0,0.0,0,0,0,2.4056390622295662,35,0,1
21,14,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.521640636343319,0,0,0
26,19,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.826874881864636,0,0,1
27,20,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.5086949695628413,0,0,0
22,15,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.323231428797621,0,0,0
31,13,1,0,5,0,0,0,0,0.0,0.0,0,0,0,3.180832987205441,11,0,1
26,19,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.286629486786195,0,0,0
27,20,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.6841837197791887,0,0,0
47,25,2,0,3,0,0,0,0,0.1276595744680851,0.0,1,0,0,3.673269689515108,15,0,1
57,16,2,0,5,0,0,0,0,0.22807017543859648,0.0,1,0,0,3.202819531114783,33,0,1
22,15,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.32323142879762,0,0,0
19,12,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.2516291673878226,0,0,0
17,10,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.121928094887362,0,0,0
57,19,1,0,6,0,0,0,0,0.0,0.0,0,0,0,3.43162356584743,31,0,1
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.625,0,0,0
52,23,3,0,6,0,0,0,0,0.0,0.0,2,0,0,3.435755433941628,22,0,1
210,18,1,0,7,1,9,0,4,0.24285714285714285,0.0,0,0,0,3.614369445886757,43,141,1
22,15,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.5898980954642865,0,0,0
19,11,1,0,3,0,0,0,0,0.0,0.0,0,0,0,2.9139770731827523,1,0,1
47,16,2,0,5,0,0,0,0,0.0,0.0,1,0,0,3.625,24,0,1
15,8,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.75,0,0,0
98,19,3,0,8,0,0,0,0,0.21428571428571427,0.0,2,0,0,3.2866294867861945,72,0,1
17,10,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.5219280948873624,0,0,0
81,13,1,0,6,1,0,1,1,0.0,0.0,0,0,0,2.873140679513133,36,24,1
35,28,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.2658813699600984,0,0,0
25,18,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.5724312513221195,0,0,0
21,14,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.378783493486176,0,0,0
51,15,1,0,5,0,0,0,0,0.0,0.0,0,0,0,3.4565647621309536,28,0,1
96,7,1,0,4,1,0,0,1,0.3333333333333333,0.14285714285714285,0,0,0,2.807354922057604,33,47,1
118,12,2,0,7,1,5,0,3,0.03389830508474576,0.0,1,0,0,2.8553885422075336,34,64,1
56,20,2,0,6,0,0,0,0,0.14285714285714285,0.0,1,0,0,3.7219280948873625,28,0,1
35,20,1,2,4,0,0,0,0,0.0,0.0,0,0,0,3.4464393446710155,8,0,1
70,17,1,0,6,0,0,0,0,0.3142857142857143,0.0,0,0,0,3.1751231351134614,46,0,1
29,22,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.6978458230844113,0,0,0
21,14,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.3248629576173574,0,0,0
47,25,2,0,3,0,0,0,0,0.1276595744680851,0.0,1,0,0,3.673269689515108,15,0,1
32,20,3,0,3,0,0,0,0,0.15625,0.25,2,0,0,3.7841837197791883,5,0,1
18,11,2,0,2,0,0,0,0,0.0,0.0,1,0,0,2.663532754804255,0,0,1
105,11,3,0,9,0,0,0,0,0.4857142857142857,0.7272727272727273,2,1,0,2.8453509366224368,87,0,1
133,22,2,0,8,1,1,0,2,0.007518796992481203,0.0,1,0,0,3.6635327548042533,55,48,1
17,10,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.121928094887362,0,0,0
19,12,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.584962500721156,0,0,0
21,10,2,0,4,0,0,0,0,0.0,0.0,1,0,0,2.521928094887362,4,0,1
97,27,1,0,6,1,0,1,1,0.0,0.0,0,0,0,3.8100810205217313,40,22,1
34,25,1,0,3,0,0,0,0,0.0,0.0,0,0,0,3.733660689688185,2,0,1
16,9,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.94770277922009,0,0,0
17,10,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.321928094887362,0,0,0
149,25,2,0,3,1,0,0,1,0.4429530201342282,0.0,1,0,0,3.6430741894285688,1,115,1
28,21,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.7256507561120924,0,0,0
23,16,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.202819531114783,0,0,0
59,16,2,1,6,0,0,0,0,0.01694915254237288,0.0625,1,0,0,3.5,36,0,1
14,7,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.807354922057604,0,0,0
88,11,2,0,3,1,2,0,3,0.29545454545454547,0.09090909090909091,1,0,0,2.845350936622437,13,56,1
15,8,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.75,0,0,0
30,22,2,0,3,0,0,0,0,0.0,0.0,1,0,0,3.6069367321753214,1,0,1
25,18,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.1916116417513782,0,0,0
46,31,2,0,3,0,0,0,0,0.06521739130434782,0.0967741935483871,1,0,0,3.873235826376328,8,0,1
25,18,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.461320140211008,0,0,0
22,15,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.1395722619867223,0,0,0
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.2806390622295662,0,0,0
79,32,3,0,6,0,0,0,0,0.0,0.0,2,0,0,3.730337797403416,40,0,1
16,9,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.94770277922009,0,0,0
42,18,1,0,5,0,0,0,0,0.0,0.0,0,0,0,3.530493056757482,17,0,1
